X,Y,class
7.00E-01,-2.47E-01,0.00E+00
-3.95E+00,2.74E+00,1.00E+00
1.50E-01,-2.16E+00,1.00E+00
-1.67E+00,-9.42E-01,1.00E+00
2.56E+00,-1.85E+00,1.00E+00
-1.72E+00,3.46E+00,1.00E+00
1.90E-01,1.70E+00,1.00E+00
-3.34E-01,1.03E+00,0.00E+00
3.10E+00,-2.68E+00,1.00E+00
-1.24E+00,-1.23E+00,1.00E+00
-3.79E-01,7.50E-01,0.00E+00
2.92E+00,-2.08E+00,1.00E+00
-2.67E-03,-1.98E+00,1.00E+00
7.49E-01,1.95E-01,0.00E+00
1.60E+00,-1.56E+00,1.00E+00
4.96E-01,-1.86E+00,1.00E+00
2.07E+00,-2.91E+00,1.00E+00
-1.03E+00,-1.23E+00,1.00E+00
-1.06E+00,2.39E+00,1.00E+00
-1.56E+00,1.62E+00,1.00E+00
-1.45E+00,1.12E+00,1.00E+00
8.59E-02,2.99E-01,0.00E+00
1.72E-01,1.60E+00,1.00E+00
3.52E-01,-4.20E-01,0.00E+00
4.25E-01,-4.98E-01,0.00E+00
8.78E-01,1.35E+00,1.00E+00
1.89E-02,-9.82E-01,0.00E+00
-9.15E-01,1.27E+00,0.00E+00
1.20E+00,-1.22E+00,1.00E+00
2.47E+00,-1.08E+00,1.00E+00
5.18E-01,-1.48E+00,0.00E+00
1.60E+00,2.15E+00,1.00E+00
-4.33E-01,1.17E+00,0.00E+00
9.35E-01,2.53E+00,1.00E+00
1.64E+00,5.23E-01,1.00E+00
1.19E+00,1.32E+00,1.00E+00
-1.32E+00,-7.54E-01,0.00E+00
-2.18E+00,-6.33E-01,1.00E+00
7.25E-01,-4.22E-01,0.00E+00
7.28E-01,-3.94E+00,1.00E+00
-2.64E-01,-8.04E-02,0.00E+00
-4.62E-01,-1.90E+00,1.00E+00
-1.94E+00,4.46E-01,1.00E+00
-1.56E-01,1.21E-02,0.00E+00
-2.76E-01,1.14E+00,0.00E+00
-6.35E-01,-9.51E-01,0.00E+00
6.52E-01,-1.66E+00,1.00E+00
1.22E+00,-3.25E+00,1.00E+00
3.25E-01,1.08E+00,0.00E+00
-2.48E+00,1.01E+00,1.00E+00
-1.93E-01,-1.68E-01,0.00E+00
2.64E-01,5.80E-01,0.00E+00
-7.88E-01,1.33E+00,0.00E+00
-7.31E-01,-1.41E+00,1.00E+00
-2.71E-01,-1.26E+00,0.00E+00
-5.47E-02,-2.29E+00,1.00E+00
-1.58E+00,2.77E+00,1.00E+00
8.75E-01,-6.27E-01,0.00E+00
4.46E-01,-2.86E+00,1.00E+00
1.39E+00,3.02E-01,0.00E+00
-2.02E+00,2.50E+00,1.00E+00
1.96E+00,-9.35E-01,1.00E+00
-1.62E+00,-4.94E-01,1.00E+00
-1.22E+00,9.54E-01,0.00E+00
8.27E-01,4.59E-01,0.00E+00
5.90E-01,1.11E+00,0.00E+00
1.23E+00,1.06E+00,1.00E+00
-3.14E-01,-2.84E-01,0.00E+00
-2.63E+00,1.75E+00,1.00E+00
1.05E+00,-1.35E+00,1.00E+00
2.30E+00,-8.65E-01,1.00E+00
-5.67E-01,1.17E+00,0.00E+00
-1.70E+00,1.22E+00,1.00E+00
-2.64E-01,-1.44E-01,0.00E+00
3.58E+00,-3.52E-01,1.00E+00
-9.92E-01,-7.60E-01,0.00E+00
2.59E+00,7.98E-01,1.00E+00
-1.41E+00,-1.51E-01,0.00E+00
-3.76E-01,4.61E-02,0.00E+00
1.58E+00,-8.29E-01,1.00E+00
-1.58E+00,3.32E-01,1.00E+00
2.26E-01,1.24E+00,0.00E+00
-3.54E+00,-2.99E+00,1.00E+00
2.80E-01,1.68E-01,0.00E+00
8.82E-01,-6.15E-01,0.00E+00
-4.56E-01,-5.43E-01,0.00E+00
-8.77E-01,9.87E-01,0.00E+00
2.90E+00,8.28E-01,1.00E+00
6.07E-01,-8.58E-01,0.00E+00
-1.88E+00,-2.49E+00,1.00E+00
-1.11E+00,-6.19E-01,0.00E+00
-1.74E-01,-1.32E+00,0.00E+00
-1.17E+00,-1.25E+00,1.00E+00
-7.72E-01,-2.81E-01,0.00E+00
1.59E+00,5.78E-01,1.00E+00
-1.75E+00,1.24E+00,1.00E+00
-9.48E-01,5.34E-01,0.00E+00
-3.37E-01,1.63E+00,1.00E+00
6.24E-01,-1.42E-01,0.00E+00
-9.78E-01,-5.61E-01,0.00E+00
-7.95E-01,2.76E+00,1.00E+00
-1.64E-01,-2.48E-01,0.00E+00
-2.38E-01,-2.46E-01,0.00E+00
-9.72E-01,-1.20E+00,0.00E+00
9.26E-01,-7.24E-02,0.00E+00
-9.49E-01,-1.79E-02,0.00E+00
-9.98E-01,1.69E+00,1.00E+00
5.99E-01,1.09E-01,0.00E+00
4.00E-01,-1.17E+00,0.00E+00
-1.55E+00,2.40E-01,0.00E+00
6.20E-01,1.59E+00,1.00E+00
1.35E-01,1.30E+00,0.00E+00
1.80E+00,2.78E+00,1.00E+00
4.29E+00,1.17E+00,1.00E+00
-5.82E-01,1.81E+00,1.00E+00
-9.91E-01,-2.88E-01,0.00E+00
-3.59E-01,1.98E+00,1.00E+00
1.18E+00,2.18E+00,1.00E+00
1.21E+00,5.00E-02,0.00E+00
-2.56E-01,-8.54E-01,0.00E+00
8.74E-01,-2.60E-01,0.00E+00
-2.88E+00,-2.75E+00,1.00E+00
7.36E-01,-1.62E+00,1.00E+00
3.29E-01,9.65E-01,0.00E+00
7.12E-01,1.83E+00,1.00E+00
6.18E-02,-3.20E-01,0.00E+00
1.27E+00,-9.67E-01,1.00E+00
3.09E+00,-1.97E+00,1.00E+00
5.97E-02,8.24E-01,0.00E+00
1.99E+00,1.83E-01,1.00E+00
1.88E+00,-4.06E-01,1.00E+00
2.70E-01,2.97E+00,1.00E+00
-2.95E-01,8.30E-01,0.00E+00
3.43E-01,2.85E-01,0.00E+00
-2.37E+00,1.17E+00,1.00E+00
-1.35E+00,8.29E-01,0.00E+00
2.69E+00,1.57E+00,1.00E+00
4.03E-01,3.71E-01,0.00E+00
-7.47E-01,-1.52E+00,1.00E+00
2.20E+00,1.55E-01,1.00E+00
-2.04E+00,-7.13E-01,1.00E+00
2.34E-02,2.51E-01,0.00E+00
-5.00E-02,2.98E+00,1.00E+00
-6.72E-01,6.75E-01,0.00E+00
7.19E-02,-9.01E-01,0.00E+00
1.13E+00,6.59E-02,0.00E+00
4.51E-01,-3.53E-01,0.00E+00
1.28E+00,7.11E-01,0.00E+00
2.05E+00,-8.74E-01,1.00E+00
1.10E-01,8.75E-01,0.00E+00
8.52E-01,5.94E-01,0.00E+00
-4.88E-01,-3.26E-01,0.00E+00
8.79E-01,-8.48E-01,0.00E+00
-3.48E-02,-1.10E+00,0.00E+00
1.70E-01,8.73E-01,0.00E+00
-1.07E+00,1.77E+00,1.00E+00
2.29E+00,7.11E-01,1.00E+00
9.62E-01,-4.52E-01,0.00E+00
3.02E+00,-1.11E+00,1.00E+00
1.15E+00,1.48E+00,1.00E+00
3.09E-02,-6.63E-01,0.00E+00
2.46E-02,-1.59E+00,0.00E+00
-2.04E+00,1.74E+00,1.00E+00
-6.32E-01,1.73E+00,1.00E+00
4.04E-01,1.25E+00,0.00E+00
6.91E-01,-1.07E-01,0.00E+00
1.47E+00,3.09E+00,1.00E+00
3.97E-01,-1.03E-01,0.00E+00
7.96E-01,3.40E-01,0.00E+00
1.21E+00,-5.84E-01,0.00E+00
3.91E-01,-1.04E+00,0.00E+00
-2.75E+00,4.99E-01,1.00E+00
-2.44E-01,-1.24E+00,0.00E+00
-1.20E-01,-4.21E-01,0.00E+00
-7.05E-01,-4.40E-01,0.00E+00
1.43E+00,1.30E+00,1.00E+00
-1.58E+00,1.14E-01,0.00E+00
9.32E-01,-2.30E+00,1.00E+00
-1.56E-01,-8.73E-01,0.00E+00
6.96E-01,-9.63E-01,0.00E+00
1.12E+00,-5.30E-01,0.00E+00
2.35E+00,1.05E+00,1.00E+00
-3.95E-01,2.30E+00,1.00E+00
-2.65E+00,1.30E+00,1.00E+00
1.59E+00,4.32E-01,1.00E+00
5.71E-01,8.39E-01,0.00E+00
1.70E+00,2.62E-01,1.00E+00
-1.70E-01,-1.74E+00,1.00E+00
-5.31E-01,-9.03E-01,0.00E+00
-4.39E-01,-3.44E+00,1.00E+00
1.07E+00,1.25E+00,1.00E+00
-1.74E+00,7.79E-01,1.00E+00
-6.25E-01,4.58E-01,0.00E+00
-4.86E-01,6.17E-02,0.00E+00
-1.80E+00,4.43E-01,1.00E+00
2.21E-01,-2.69E-01,0.00E+00
-1.92E-01,-1.13E+00,0.00E+00
-2.33E+00,-1.26E+00,1.00E+00
2.30E+00,4.78E-01,1.00E+00
1.12E+00,-8.82E-01,0.00E+00
3.00E+00,1.29E+00,0.00E+00
3.23E+00,5.57E+00,0.00E+00
2.85E+00,1.85E+00,1.00E+00
2.26E+00,3.68E+00,1.00E+00
2.33E+00,2.76E+00,1.00E+00
3.83E+00,2.61E+00,1.00E+00
2.35E+00,1.69E+00,0.00E+00
3.19E+00,2.77E+00,1.00E+00
2.45E+00,2.18E+00,1.00E+00
2.69E+00,4.71E+00,0.00E+00
3.46E+00,5.27E+00,0.00E+00
4.56E+00,5.41E+00,0.00E+00
2.24E+00,3.85E+00,1.00E+00
3.16E+00,4.47E+00,0.00E+00
9.50E-01,4.01E+00,0.00E+00
2.44E+00,3.79E+00,1.00E+00
2.14E+00,2.34E+00,1.00E+00
4.42E+00,3.45E+00,0.00E+00
2.83E+00,2.85E+00,1.00E+00
2.35E+00,4.37E+00,0.00E+00
4.10E+00,3.62E+00,1.00E+00
2.85E+00,1.49E+00,0.00E+00
2.65E+00,2.52E+00,1.00E+00
2.02E+00,2.64E+00,1.00E+00
3.52E+00,3.09E+00,1.00E+00
4.07E+00,2.38E+00,1.00E+00
1.32E+00,3.39E+00,0.00E+00
3.34E+00,2.91E+00,1.00E+00
1.83E+00,3.72E+00,1.00E+00
4.42E+00,2.97E+00,0.00E+00
3.17E+00,3.63E+00,1.00E+00
4.27E+00,5.68E+00,0.00E+00
2.72E-01,9.19E-01,0.00E+00
4.03E+00,4.14E+00,0.00E+00
1.25E+00,5.17E+00,0.00E+00
3.35E+00,4.08E+00,1.00E+00
4.39E+00,1.65E+00,0.00E+00
3.30E+00,2.64E+00,1.00E+00
5.51E+00,3.72E+00,0.00E+00
3.76E+00,2.77E+00,1.00E+00
2.77E+00,2.93E+00,1.00E+00
3.55E+00,9.37E-01,0.00E+00
2.76E+00,3.99E+00,1.00E+00
2.49E+00,3.55E+00,1.00E+00
3.54E+00,4.37E+00,0.00E+00
2.79E+00,1.92E+00,1.00E+00
2.86E+00,2.79E+00,1.00E+00
3.99E+00,5.19E+00,0.00E+00
2.14E+00,4.46E+00,0.00E+00
4.18E+00,3.87E+00,0.00E+00
4.35E+00,1.90E+00,0.00E+00
2.66E+00,4.51E+00,0.00E+00
4.37E+00,3.50E+00,0.00E+00
1.95E+00,3.83E+00,1.00E+00
3.72E+00,3.40E+00,1.00E+00
4.27E+00,1.88E+00,0.00E+00
3.61E+00,2.79E+00,1.00E+00
5.14E+00,2.07E+00,0.00E+00
3.37E+00,2.57E+00,1.00E+00
2.82E+00,4.27E+00,1.00E+00
1.49E+00,3.67E+00,0.00E+00
3.55E+00,5.16E+00,0.00E+00
1.49E+00,4.07E+00,0.00E+00
3.30E+00,3.25E+00,1.00E+00
3.63E+00,2.63E+00,1.00E+00
5.53E+00,1.20E+00,0.00E+00
5.07E+00,3.24E+00,0.00E+00
3.02E+00,2.15E+00,1.00E+00
-4.21E-01,5.37E+00,0.00E+00
2.21E+00,4.10E+00,1.00E+00
3.35E+00,3.32E+00,1.00E+00
3.65E+00,3.17E+00,1.00E+00
3.54E+00,2.88E+00,1.00E+00
1.60E+00,2.57E+00,0.00E+00
3.49E+00,3.73E+00,1.00E+00
1.93E+00,3.45E+00,1.00E+00
3.04E+00,4.78E+00,0.00E+00
2.58E+00,3.05E+00,1.00E+00
2.48E+00,2.10E+00,1.00E+00
3.93E+00,4.08E+00,0.00E+00
4.05E+00,2.49E+00,1.00E+00
3.12E+00,4.13E+00,1.00E+00
2.73E+00,2.75E+00,1.00E+00
2.45E+00,4.50E+00,0.00E+00
2.71E+00,3.89E+00,1.00E+00
2.73E+00,4.80E+00,0.00E+00
3.51E+00,3.96E+00,1.00E+00
2.58E+00,1.78E+00,1.00E+00
3.53E+00,2.26E+00,1.00E+00
2.01E+00,3.68E+00,1.00E+00
1.12E+00,2.45E+00,0.00E+00
3.84E+00,2.57E+00,1.00E+00
3.43E+00,1.39E+00,0.00E+00
4.70E+00,3.67E+00,0.00E+00
3.45E+00,4.51E+00,0.00E+00
4.98E+00,3.62E+00,0.00E+00
1.99E+00,3.88E+00,1.00E+00
4.47E+00,3.23E+00,0.00E+00
-6.98E-02,4.11E-01,0.00E+00
6.71E+00,4.01E+00,0.00E+00
1.64E+00,2.98E+00,1.00E+00
5.52E+00,3.07E+00,0.00E+00
3.76E+00,2.27E+00,1.00E+00
4.47E+00,5.09E+00,0.00E+00
6.20E-01,3.43E+00,0.00E+00
2.18E+00,3.46E+00,1.00E+00
2.39E+00,2.62E+00,1.00E+00
3.15E+00,4.38E+00,1.00E+00
5.68E+00,1.29E+00,0.00E+00
3.83E+00,2.12E+00,1.00E+00
3.13E+00,1.13E+00,0.00E+00
1.55E+00,2.18E+00,0.00E+00
5.14E+00,2.05E+00,0.00E+00
2.92E+00,2.87E+00,1.00E+00
1.93E+00,1.94E+00,0.00E+00
2.68E+00,3.23E+00,1.00E+00
4.91E+00,3.13E+00,0.00E+00
4.36E+00,2.28E+00,0.00E+00
3.56E+00,1.56E+00,0.00E+00
2.97E+00,2.05E+00,1.00E+00
4.04E+00,1.95E+00,0.00E+00
2.46E+00,3.40E+00,1.00E+00
4.77E+00,2.34E+00,0.00E+00
2.16E+00,1.96E+00,1.00E+00
3.65E+00,2.60E-01,0.00E+00
2.54E+00,2.22E+00,1.00E+00
2.78E+00,2.26E+00,1.00E+00
2.50E+00,4.57E+00,0.00E+00
1.53E+00,4.06E+00,0.00E+00
3.96E+00,2.23E+00,1.00E+00
2.78E+00,1.15E+00,0.00E+00
4.21E+00,3.26E+00,1.00E+00
3.98E+00,3.06E+00,1.00E+00
1.24E+00,4.51E+00,0.00E+00
2.72E+00,4.98E+00,0.00E+00
4.63E+00,2.65E+00,0.00E+00
5.62E+00,2.04E+00,0.00E+00
3.81E+00,4.21E+00,0.00E+00
1.66E+00,3.21E+00,1.00E+00
1.96E+00,4.23E+00,0.00E+00
2.43E+00,4.70E+00,0.00E+00
3.28E+00,3.93E+00,1.00E+00
2.14E+00,2.75E+00,1.00E+00
2.08E+00,5.07E+00,0.00E+00
4.10E+00,2.16E+00,1.00E+00
4.60E+00,1.59E+00,0.00E+00
3.06E+00,2.22E+00,1.00E+00
4.24E+00,4.13E+00,0.00E+00
9.95E-01,7.85E+00,0.00E+00
3.95E+00,2.85E+00,1.00E+00
2.95E+00,1.02E+00,0.00E+00
3.97E+00,2.24E+00,1.00E+00
8.10E-01,3.44E+00,0.00E+00
2.51E+00,4.01E+00,1.00E+00
2.49E+00,2.41E+00,1.00E+00
5.68E+00,6.77E-01,0.00E+00
6.10E+00,2.70E+00,0.00E+00
3.22E+00,4.36E+00,1.00E+00
2.31E+00,5.39E+00,0.00E+00
2.32E+00,4.15E+00,1.00E+00
3.21E+00,1.57E+00,0.00E+00
2.67E+00,3.04E+00,1.00E+00
3.28E+00,3.84E+00,1.00E+00
3.81E+00,5.19E+00,0.00E+00
3.76E+00,2.46E+00,1.00E+00
2.11E+00,1.94E+00,1.00E+00
2.66E+00,4.99E+00,0.00E+00
3.15E+00,3.76E+00,1.00E+00
2.74E+00,3.72E+00,1.00E+00
1.75E+00,3.97E+00,0.00E+00
3.55E+00,2.15E+00,1.00E+00
3.57E+00,4.27E+00,1.00E+00
3.91E+00,1.83E+00,0.00E+00
3.69E+00,3.29E+00,1.00E+00
3.35E+00,1.99E+00,1.00E+00
2.48E+00,3.11E+00,1.00E+00
4.70E+00,2.19E+00,0.00E+00
1.40E+00,3.09E+00,0.00E+00
4.41E-02,8.23E-01,0.00E+00
5.33E+00,4.36E+00,0.00E+00
2.90E+00,2.64E+00,1.00E+00
2.77E+00,1.91E+00,1.00E+00
2.87E+00,3.77E+00,1.00E+00
3.45E+00,1.72E+00,1.00E+00
2.61E+00,2.53E+00,1.00E+00
2.58E+00,2.72E+00,1.00E+00
2.27E+00,2.62E+00,1.00E+00
5.16E+00,2.93E+00,0.00E+00
1.64E+00,2.92E+00,1.00E+00
3.76E-01,1.98E+00,0.00E+00
3.02E+00,1.63E+00,1.00E+00
3.03E+00,2.43E+00,1.00E+00
3.76E+00,2.47E+00,1.00E+00
3.05E+00,3.71E+00,1.00E+00
2.79E+00,2.79E+00,1.00E+00
3.99E+00,4.28E+00,0.00E+00
3.39E+00,2.69E+00,1.00E+00
3.20E+00,4.07E+00,1.00E+00
2.69E+00,3.47E+00,1.00E+00
2.23E+00,2.27E+00,1.00E+00
3.39E+00,5.23E-01,0.00E+00
2.62E+00,1.79E-02,0.00E+00
3.76E+00,4.17E+00,1.00E+00
4.79E+00,3.73E+00,0.00E+00
3.17E+00,-8.18E-02,0.00E+00
4.05E+00,2.83E+00,1.00E+00
4.48E+00,4.37E+00,0.00E+00
6.09E-01,1.28E+00,0.00E+00
2.53E+00,4.79E+00,0.00E+00
1.63E+00,3.29E+00,1.00E+00
2.87E+00,3.01E+00,1.00E+00
1.44E+00,3.38E+00,0.00E+00
2.76E+00,5.29E+00,0.00E+00
3.80E+00,2.94E+00,1.00E+00
3.16E+00,5.16E+00,0.00E+00
2.67E+00,3.65E+00,1.00E+00
1.37E+00,8.44E-01,0.00E+00
1.63E+00,3.10E+00,1.00E+00
4.04E+00,3.04E+00,1.00E+00
2.41E+00,3.43E+00,1.00E+00
2.62E+00,4.01E+00,1.00E+00
1.58E+00,4.65E+00,0.00E+00
3.85E+00,2.07E+00,1.00E+00
2.31E+00,3.11E+00,1.00E+00
2.65E+00,5.52E+00,0.00E+00
3.23E+00,3.50E+00,1.00E+00
3.63E+00,1.63E+00,0.00E+00
3.79E+00,3.13E+00,1.00E+00
3.07E+00,3.26E+00,1.00E+00
1.51E+00,6.00E+00,0.00E+00
3.97E+00,2.54E+00,1.00E+00
1.86E+00,2.35E+00,1.00E+00
3.81E+00,1.01E+00,0.00E+00
3.63E+00,5.10E+00,0.00E+00
2.86E+00,2.24E+00,1.00E+00
4.99E+00,2.25E+00,0.00E+00
2.78E+00,4.35E+00,1.00E+00
2.96E+00,5.58E+00,0.00E+00
4.39E+00,4.86E+00,0.00E+00
3.60E+00,2.91E+00,1.00E+00
1.07E+00,1.99E+00,0.00E+00
2.83E+00,2.02E+00,1.00E+00
4.99E+00,2.01E+00,0.00E+00
3.62E+00,4.58E+00,0.00E+00
4.03E+00,2.87E+00,1.00E+00
5.25E+00,3.69E+00,0.00E+00
3.24E+00,3.15E+00,1.00E+00
3.60E+00,2.17E+00,1.00E+00
3.10E+00,3.76E+00,1.00E+00
2.60E+00,1.36E+00,0.00E+00
3.46E+00,2.82E+00,1.00E+00
7.06E-01,4.13E+00,0.00E+00
4.72E+00,3.16E+00,0.00E+00
4.99E+00,3.41E+00,0.00E+00
2.42E+00,3.58E+00,1.00E+00
3.63E+00,-4.08E-01,0.00E+00
4.40E+00,2.94E+00,1.00E+00
4.79E+00,4.77E-01,0.00E+00
2.04E+00,2.46E+00,1.00E+00
3.34E+00,2.10E+00,1.00E+00
3.64E+00,1.60E+00,0.00E+00
4.06E+00,1.81E-01,0.00E+00
2.59E+00,3.47E+00,1.00E+00
3.55E+00,4.35E+00,0.00E+00
4.02E+00,4.89E+00,0.00E+00
3.02E+00,3.22E+00,1.00E+00
2.77E+00,2.88E+00,1.00E+00
2.37E+00,1.78E+00,1.00E+00
2.06E+00,3.83E+00,1.00E+00
4.78E+00,2.24E+00,0.00E+00
9.78E-01,1.91E+00,0.00E+00
3.02E+00,2.47E+00,1.00E+00
3.78E+00,4.73E+00,0.00E+00
3.38E+00,4.35E-01,0.00E+00
2.54E+00,2.08E+00,1.00E+00
4.60E+00,2.26E+00,0.00E+00
1.65E+00,4.40E+00,0.00E+00
1.23E+00,2.38E+00,0.00E+00
2.15E+00,2.51E+00,1.00E+00
5.05E-01,6.21E-01,0.00E+00
3.05E+00,2.72E+00,1.00E+00
4.24E+00,1.19E+00,0.00E+00
2.71E+00,4.41E+00,0.00E+00
5.03E+00,3.91E+00,0.00E+00
2.08E+00,4.53E+00,0.00E+00
4.06E+00,3.92E+00,1.00E+00
7.24E-01,4.51E+00,0.00E+00
4.28E+00,3.75E+00,0.00E+00
1.08E+00,4.24E+00,0.00E+00
1.63E+00,5.40E+00,0.00E+00
2.05E+00,4.37E+00,0.00E+00
1.29E+00,3.10E+00,0.00E+00
3.74E+00,3.51E+00,1.00E+00
4.38E+00,3.37E+00,0.00E+00
1.98E+00,1.92E+00,0.00E+00
2.18E+00,2.98E+00,1.00E+00
1.78E+00,2.87E+00,1.00E+00
8.94E-01,3.07E+00,0.00E+00
8.49E-01,3.88E+00,0.00E+00
5.22E+00,1.40E+00,0.00E+00
